FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,MLI,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,MLI,CLAS1_7,_Z,DIGITAL,.0849494710564613,2014
A,MLI,CLAS1_8,_Z,DIGITAL,0,2014
A,MLI,CLAS1_9,_Z,DIGITAL,0,2014
A,MLI,STRI,_Z,DIGITAL,.1246244236826897,2014
A,MNE,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,MNE,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,MNE,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,MNE,CLAS1_8,_Z,DIGITAL,0,2014
A,MNE,CLAS1_9,_Z,DIGITAL,0,2014
A,MNE,STRI,_Z,DIGITAL,.0828666985034943,2014
A,MYS,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,MYS,CLAS1_6,_Z,DIGITAL,0,2014
A,MYS,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,MYS,CLAS1_8,_Z,DIGITAL,0,2014
A,MYS,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,MYS,STRI,_Z,DIGITAL,.0867932289838791,2014
A,NIC,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,NIC,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,NIC,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,NIC,CLAS1_8,_Z,DIGITAL,0,2014
A,NIC,CLAS1_9,_Z,DIGITAL,0,2014
A,NIC,STRI,_Z,DIGITAL,.2054083645343781,2014
A,NLD,CLAS1_10,_Z,DIGITAL,0,2014
A,NLD,CLAS1_6,_Z,DIGITAL,0,2014
A,NLD,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,NLD,CLAS1_8,_Z,DIGITAL,0,2014
A,NLD,CLAS1_9,_Z,DIGITAL,0,2014
A,NLD,STRI,_Z,DIGITAL,.0424747355282307,2014
A,NOR,CLAS1_10,_Z,DIGITAL,0,2014
A,NOR,CLAS1_6,_Z,DIGITAL,0,2014
A,NOR,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,NOR,CLAS1_8,_Z,DIGITAL,0,2014
A,NOR,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,NOR,STRI,_Z,DIGITAL,.0428844578564167,2014
A,NPL,CLAS1_10,_Z,DIGITAL,.0658631511032581,2014
A,NPL,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,NPL,CLAS1_7,_Z,DIGITAL,.063712103292346,2014
A,NPL,CLAS1_8,_Z,DIGITAL,.0368068851530552,2014
A,NPL,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,NPL,STRI,_Z,DIGITAL,.2673791348934174,2014
A,NZL,CLAS1_10,_Z,DIGITAL,0,2014
